;STATION;NAME;DATE;PRCP;SNOW;TAVG;TMAX;TMIN
66086;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-03-12;0.01;0.0;36.0;38.0;23.0
66087;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-03-13;0.0;0.0;24.0;27.0;15.0
66088;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-03-14;0.0;0.0;16.0;23.0;11.0
66089;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-03-15;0.02;0.2;20.0;34.0;10.0
66090;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-03-16;0.01;0.1;30.0;32.0;20.0
66091;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-03-17;0.0;0.0;24.0;35.0;16.0
66092;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-03-18;0.02;0.0;34.0;36.0;23.0
66093;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-03-19;0.04;0.2;22.0;23.0;10.0
66094;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-03-20;0.0;0.0;11.0;17.0;2.0
66095;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-03-21;0.0;0.0;16.0;31.0;0.0
66096;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-03-22;0.01;0.1;32.0;37.0;28.0
66097;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-03-23;0.0;0.0;32.0;39.0;25.0
66098;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-03-24;0.0;0.0;38.0;42.0;34.0
66099;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-03-25;0.0;0.0;32.0;36.0;24.0
66100;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-03-26;0.0;0.0;26.0;37.0;22.0
66101;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-03-27;0.0;0.0;35.0;52.0;25.0
66102;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-03-28;0.0;0.0;36.0;43.0;28.0
66103;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-03-29;0.0;0.0;36.0;47.0;30.0
66104;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-03-30;0.0;0.0;38.0;56.0;26.0
66105;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-03-31;0.0;0.0;45.0;53.0;38.0
66106;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-04-01;0.21;0.0;46.0;56.0;35.0
66107;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-04-02;0.98;4.8;33.0;36.0;17.0
66108;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-04-03;0.0;0.0;19.0;21.0;5.0
66109;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-04-04;0.0;0.0;15.0;34.0;2.0
66110;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-04-05;0.0;0.0;35.0;44.0;31.0
66111;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-04-06;0.21;0.0;42.0;51.0;37.0
66112;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-04-07;0.01;0.0;45.0;50.0;37.0
66113;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-04-08;0.0;0.0;42.0;46.0;31.0
66114;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-04-09;0.02;0.3;33.0;40.0;28.0
66115;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-04-10;0.0;0.0;36.0;48.0;25.0
66116;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-04-11;0.0;0.0;38.0;41.0;31.0
66117;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-04-12;0.0;0.0;31.0;34.0;21.0
66118;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-04-13;0.01;0.1;25.0;28.0;15.0
66119;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-04-14;0.02;0.4;20.0;26.0;15.0
66120;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-04-15;0.0;0.0;26.0;37.0;17.0
66121;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-04-16;0.0;0.0;31.0;45.0;20.0
66122;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-04-17;0.0;0.0;37.0;52.0;24.0
66123;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-04-18;0.0;0.0;48.0;58.0;33.0
66124;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-04-19;0.0;0.0;37.0;50.0;25.0
66125;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-04-20;0.0;0.0;44.0;53.0;26.0
66126;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-04-21;0.01;0.0;32.0;44.0;22.0
66127;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-04-22;0.0;0.0;44.0;63.0;30.0
66128;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-04-23;0.08;0.0;52.0;67.0;42.0
66129;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-04-24;0.0;0.0;51.0;67.0;36.0
66130;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-04-25;0.0;0.0;52.0;65.0;36.0
66131;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-04-26;0.06;0.0;55.0;71.0;41.0
66132;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-04-27;0.0;0.0;58.0;71.0;38.0
66133;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-04-28;0.0;0.0;58.0;66.0;50.0
66134;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-04-29;0.0;0.0;54.0;66.0;41.0
66135;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-04-30;0.0;0.0;53.0;72.0;34.0
66136;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-05-01;0.01;0.0;63.0;74.0;47.0
66137;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-05-02;0.0;0.0;58.0;68.0;44.0
66138;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-05-03;0.0;0.0;45.0;53.0;31.0
66139;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-05-04;0.43;0.0;45.0;53.0;34.0
66140;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-05-05;0.53;0.0;45.0;47.0;42.0
66141;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-05-06;0.0;0.0;49.0;63.0;36.0
66142;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-05-07;0.0;0.0;46.0;52.0;33.0
66143;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-05-08;0.0;0.0;40.0;52.0;28.0
66144;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-05-09;0.19;0.0;40.0;43.0;34.0
66145;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-05-10;0.0;0.0;41.0;50.0;32.0
66146;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-05-11;0.0;0.0;38.0;48.0;27.0
66147;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-05-12;0.0;0.0;39.0;55.0;22.0
66148;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-05-13;0.21;0.0;49.0;55.0;44.0
66149;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-05-14;0.0;0.0;53.0;67.0;39.0
66150;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-05-15;0.0;0.0;51.0;68.0;36.0
66151;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-05-16;0.0;0.0;58.0;70.0;44.0
66152;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-05-17;0.0;0.0;59.0;75.0;43.0
66153;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-05-18;0.0;0.0;63.0;79.0;44.0
66154;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-05-19;0.0;0.0;65.0;78.0;52.0
66155;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-05-20;0.0;0.0;66.0;72.0;58.0
66156;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-05-21;0.0;0.0;66.0;74.0;57.0
66157;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-05-22;0.0;0.0;66.0;78.0;59.0
66158;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-05-23;0.0;0.0;67.0;77.0;58.0
66159;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-05-24;0.01;0.0;65.0;71.0;59.0
66160;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-05-25;0.0;0.0;63.0;74.0;53.0
66161;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-05-26;0.09;0.0;64.0;75.0;56.0
66162;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-05-27;0.0;0.0;69.0;86.0;52.0
66163;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-05-28;0.0;0.0;64.0;69.0;49.0
66164;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-05-29;0.0;0.0;56.0;68.0;44.0
66165;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-05-30;0.0;0.0;57.0;68.0;42.0
66166;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-05-31;0.0;0.0;62.0;84.0;44.0
66167;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-06-01;0.0;0.0;78.0;97.0;65.0
66168;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-06-02;0.0;0.0;75.0;89.0;55.0
66169;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-06-03;0.0;0.0;71.0;84.0;51.0
66170;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-06-04;0.01;0.0;73.0;86.0;54.0
66171;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-06-05;0.0;0.0;68.0;81.0;50.0
66172;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-06-06;0.0;0.0;66.0;77.0;49.0
66173;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-06-07;0.59;0.0;76.0;99.0;64.0
66174;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-06-08;0.32;0.0;79.0;87.0;66.0
66175;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-06-09;0.65;0.0;69.0;72.0;57.0
66176;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-06-10;0.0;0.0;62.0;73.0;53.0
66177;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-06-11;0.0;0.0;65.0;80.0;53.0
66178;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-06-12;0.0;0.0;66.0;75.0;53.0
66179;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-06-13;0.0;0.0;66.0;78.0;55.0
66180;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-06-14;0.0;0.0;71.0;82.0;61.0
66181;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-06-15;0.0;0.0;79.0;92.0;72.0
66182;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-06-16;0.0;0.0;83.0;97.0;67.0
66183;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-06-17;0.0;0.0;85.0;97.0;74.0
66184;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-06-18;0.25;0.0;76.0;83.0;56.0
66185;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-06-19;0.0;0.0;63.0;75.0;52.0
66186;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-06-20;0.04;0.0;67.0;76.0;56.0
66187;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-06-21;0.01;0.0;63.0;74.0;56.0
66188;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-06-22;0.0;0.0;65.0;72.0;55.0
66189;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-06-23;0.09;0.0;66.0;79.0;54.0
66190;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-06-24;0.0;0.0;69.0;82.0;53.0
66191;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-06-25;0.65;0.0;74.0;92.0;63.0
66192;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-06-26;0.0;0.0;73.0;85.0;64.0
66193;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-06-27;0.0;0.0;75.0;90.0;60.0
66194;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-06-28;0.0;0.0;80.0;90.0;71.0
66195;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-06-29;0.04;0.0;77.0;85.0;67.0
66196;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-06-30;0.0;0.0;78.0;88.0;69.0
66197;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-07-01;0.28;0.0;78.0;86.0;68.0
66198;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-07-02;0.0;0.0;80.0;90.0;71.0
66199;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-07-03;0.0;0.0;82.0;91.0;74.0
66200;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-07-04;0.0;0.0;81.0;89.0;73.0
66201;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-07-05;0.0;0.0;80.0;92.0;68.0
66202;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-07-06;0.08;0.0;74.0;87.0;64.0
66203;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-07-07;0.0;0.0;74.0;87.0;63.0
66204;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-07-08;0.88;0.0;77.0;84.0;66.0
66205;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-07-09;0.0;0.0;75.0;81.0;63.0
66206;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-07-10;0.0;0.0;71.0;83.0;58.0
66207;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-07-11;0.17;0.0;70.0;81.0;60.0
66208;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-07-12;0.0;0.0;72.0;83.0;56.0
66209;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-07-13;0.0;0.0;76.0;86.0;65.0
66210;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-07-14;0.05;0.0;71.0;81.0;60.0
66211;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-07-15;0.0;0.0;72.0;85.0;59.0
66212;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-07-16;0.44;0.0;74.0;86.0;61.0
66213;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-07-17;1.34;0.0;75.0;91.0;58.0
